SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200805,36467W109,GME,9693.0,GAMESTOP CORP (HLDG CO) CL A,4.43
20200806,36467W109,GME,70632.0,GAMESTOP CORP (HLDG CO) CL A,4.63
20200810,36467W109,GME,415.0,GAMESTOP CORP (HLDG CO) CL A,4.16
20200811,36467W109,GME,67801.0,GAMESTOP CORP (HLDG CO) CL A,4.33
20200812,36467W109,GME,15477.0,GAMESTOP CORP (HLDG CO) CL A,4.35
20200813,36467W109,GME,34659.0,GAMESTOP CORP (HLDG CO) CL A,4.52
20200814,36467W109,GME,9412.0,GAMESTOP CORP (HLDG CO) CL A,4.64
20200817,36467W109,GME,3983.0,GAMESTOP CORP (HLDG CO) CL A,4.75
20200818,36467W109,GME,1356.0,GAMESTOP CORP (HLDG CO) CL A,4.63
20200819,36467W109,GME,1780.0,GAMESTOP CORP (HLDG CO) CL A,4.81
20200820,36467W109,GME,58521.0,GAMESTOP CORP (HLDG CO) CL A,4.72
20200821,36467W109,GME,3202.0,GAMESTOP CORP (HLDG CO) CL A,4.61
20200824,36467W109,GME,70241.0,GAMESTOP CORP (HLDG CO) CL A,5.03
20200825,36467W109,GME,347372.0,GAMESTOP CORP (HLDG CO) CL A,4.87
20200826,36467W109,GME,72972.0,GAMESTOP CORP (HLDG CO) CL A,4.98
20200827,36467W109,GME,57178.0,GAMESTOP CORP (HLDG CO) CL A,5.11
20200828,36467W109,GME,8813.0,GAMESTOP CORP (HLDG CO) CL A,5.25
20200831,36467W109,GME,31683.0,GAMESTOP CORP (HLDG CO) CL A,5.39
20200901,36467W109,GME,310668.0,GAMESTOP CORP (HLDG CO) CL A,6.68
20200902,36467W109,GME,917224.0,GAMESTOP CORP (HLDG CO) CL A,7.65
20200903,36467W109,GME,783719.0,GAMESTOP CORP (HLDG CO) CL A,7.71
20200904,36467W109,GME,1048386.0,GAMESTOP CORP (HLDG CO) CL A,7.82
20200908,36467W109,GME,556234.0,GAMESTOP CORP (HLDG CO) CL A,7.65
20200909,36467W109,GME,252787.0,GAMESTOP CORP (HLDG CO) CL A,7.70
20200910,36467W109,GME,630799.0,GAMESTOP CORP (HLDG CO) CL A,7.35
20200911,36467W109,GME,431853.0,GAMESTOP CORP (HLDG CO) CL A,6.23
20200914,36467W109,GME,398676.0,GAMESTOP CORP (HLDG CO) CL A,6.09
20200915,36467W109,GME,267777.0,GAMESTOP CORP (HLDG CO) CL A,6.91
20200916,36467W109,GME,884485.0,GAMESTOP CORP (HLDG CO) CL A,7.09
20200917,36467W109,GME,598737.0,GAMESTOP CORP (HLDG CO) CL A,8.68
20200918,36467W109,GME,847632.0,GAMESTOP CORP (HLDG CO) CL A,9.20
20200921,36467W109,GME,709333.0,GAMESTOP CORP (HLDG CO) CL A,9.47
20200922,36467W109,GME,2655764.0,GAMESTOP CORP (HLDG CO) CL A,8.75
20200923,36467W109,GME,1004290.0,GAMESTOP CORP (HLDG CO) CL A,10.56
20200924,36467W109,GME,650946.0,GAMESTOP CORP (HLDG CO) CL A,10.04
20200925,36467W109,GME,901845.0,GAMESTOP CORP (HLDG CO) CL A,9.14
20200928,36467W109,GME,499879.0,GAMESTOP CORP (HLDG CO) CL A,10.02
20200929,36467W109,GME,295322.0,GAMESTOP CORP (HLDG CO) CL A,10.09
20200930,36467W109,GME,28263.0,GAMESTOP CORP (HLDG CO) CL A,10.35
20201001,36467W109,GME,380564.0,GAMESTOP CORP (HLDG CO) CL A,10.20
20201002,36467W109,GME,198726.0,GAMESTOP CORP (HLDG CO) CL A,9.77
20201005,36467W109,GME,77344.0,GAMESTOP CORP (HLDG CO) CL A,9.39
20201006,36467W109,GME,45728.0,GAMESTOP CORP (HLDG CO) CL A,9.46
20201007,36467W109,GME,2112.0,GAMESTOP CORP (HLDG CO) CL A,9.13
20201008,36467W109,GME,43355.0,GAMESTOP CORP (HLDG CO) CL A,9.36
20201009,36467W109,GME,287410.0,GAMESTOP CORP (HLDG CO) CL A,13.49
20201013,36467W109,GME,3210148.0,GAMESTOP CORP (HLDG CO) CL A,11.80
20201014,36467W109,GME,1020779.0,GAMESTOP CORP (HLDG CO) CL A,11.88
20201015,36467W109,GME,81962.0,GAMESTOP CORP (HLDG CO) CL A,12.25
20201016,36467W109,GME,42481.0,GAMESTOP CORP (HLDG CO) CL A,13.83
20201019,36467W109,GME,139512.0,GAMESTOP CORP (HLDG CO) CL A,13.31
20201020,36467W109,GME,210863.0,GAMESTOP CORP (HLDG CO) CL A,13.91
20201021,36467W109,GME,19853.0,GAMESTOP CORP (HLDG CO) CL A,13.86
20201022,36467W109,GME,168358.0,GAMESTOP CORP (HLDG CO) CL A,14.10
20201023,36467W109,GME,144317.0,GAMESTOP CORP (HLDG CO) CL A,14.91
20201026,36467W109,GME,221129.0,GAMESTOP CORP (HLDG CO) CL A,15.00
20201027,36467W109,GME,254372.0,GAMESTOP CORP (HLDG CO) CL A,13.45
20201028,36467W109,GME,133541.0,GAMESTOP CORP (HLDG CO) CL A,12.69
20201029,36467W109,GME,40619.0,GAMESTOP CORP (HLDG CO) CL A,11.82
