Date,Close/Last,Volume,Open,High,Low
05/22/2023,$54.692,1065,$53.40,$55.80,$51.80
05/19/2023,$54.80,5344,$59.20,$63.60,$52.00
05/18/2023,$58.80,1519,$60.00,$62.00,$58.00
05/17/2023,$58.556,2276,$62.60,$63.60,$58.20
05/16/2023,$59.20,2299,$62.20,$62.998,$58.60
05/15/2023,$59.20,8478,$64.60,$65.80,$58.002
05/12/2023,$76.60,74604,$61.00,$106.80,$58.00
05/11/2023,$61.00,15161,$60.20,$72.998,$56.20
05/10/2023,$59.40,4072,$62.20,$62.50,$57.60
05/09/2023,$63.80,6555,$67.00,$71.40,$60.40
05/08/2023,$65.80,9298,$81.40,$81.40,$65.00
05/05/2023,$91.20,68708,$100.20,$200.00,$84.40
05/04/2023,$80.40,510,$86.00,$88.60,$72.00
05/03/2023,$89.00,3291,$104.60,$104.60,$76.20
05/02/2023,$109.00,1489,$144.00,$150.00,$100.00
05/01/2023,$160.00,4399,$139.80,$184.96,$139.80
04/28/2023,$175.00,126535,$169.60,$209.40,$159.302
04/27/2023,$169.40,661,$169.00,$176.998,$164.964
04/26/2023,$167.60,577687,$181.80,$187.00,$163.80
04/25/2023,$193.10,43,$193.40,$193.40,$192.528
04/24/2023,$189.00,1630,$188.00,$195.00,$187.00
04/21/2023,$190.598,3478,$181.60,$193.40,$177.00
04/20/2023,$181.20,198,$178.86,$182.60,$178.20
04/19/2023,$176.60,2640,$173.00,$184.80,$172.10
04/18/2023,$173.00,623,$175.30,$180.00,$172.00
04/17/2023,$182.00,1022,$183.00,$186.60,$180.00
04/14/2023,$187.00,4433,$196.20,$218.13,$183.00
04/13/2023,$185.20,3351,$184.40,$196.80,$181.00
04/12/2023,$186.00,1672,$191.60,$191.818,$185.282
04/11/2023,$191.00,15276,$208.00,$208.00,$191.00
04/10/2023,$209.20,1468,$208.60,$209.20,$207.90
04/06/2023,$208.80,5337,$207.60,$208.95,$201.40
04/05/2023,$208.20,6331,$207.00,$208.80,$207.00
04/04/2023,$208.20,26110,$208.20,$209.00,$208.20
04/03/2023,$208.00,27740,$208.00,$208.20,$208.00
03/31/2023,$208.00,2048,$208.00,$208.18,$207.00
03/30/2023,$207.978,759,$207.80,$208.00,$207.80
03/29/2023,$207.80,101,$207.80,$207.80,$207.80
03/28/2023,$207.60,8675,$207.358,$207.80,$207.358
03/27/2023,$207.60,1502,$207.40,$207.80,$207.40
03/24/2023,$207.40,67614,$207.60,$207.60,$207.40
03/23/2023,$207.40,1302,$207.20,$207.40,$207.00
03/22/2023,$207.40,5318,$208.00,$208.00,$207.00
03/21/2023,$207.00,82330,$207.00,$207.40,$206.80
03/20/2023,$206.60,1725,$206.40,$206.60,$206.40
03/17/2023,$206.20,19183,$206.40,$206.40,$206.00
03/16/2023,$206.20,16279,$206.20,$206.20,$206.20
03/15/2023,$206.20,7229,$206.20,$206.30,$206.00
03/14/2023,$205.60,N/A,$205.60,$205.60,$205.60
03/13/2023,$205.60,N/A,$205.60,$205.60,$205.60
03/10/2023,$205.60,212,$206.00,$206.20,$205.60
